question,truth
asylum madhouse,3.1
automobile car,3.89
bird cock,2.72
bird crane,2.91
boy lad,3.62
brother lad,2.17
brother monk,2.02
car journey,1.7
cemetery woodland,1.36
coast forest,2.0
coast hill,1.14
coast shore,3.24
cord smile,1.03
crane implement,1.31
food fruit,2.74
food rooster,1.48
forest graveyard,1.24
furnace stove,2.97
gem jewel,4.0
glass magician,1.05
journey voyage,3.64
lad wizard,1.07
magician wizard,3.38
midday noon,4.0
monk oracle,1.58
monk slave,1.26
noon string,0.95
rooster voyage,0.33
shore woodland,1.09
tool implement,2.48
